"","STATUS","unique_id","title","meets_inclusion_criteria","source","professional_medical_society_code","professional_medical_society","link","publication_reaffirmation_date","year"
"1","Archived",287,"Diagnosis and treatment of adult isthmic spondylolisthesis.",FALSE,"North American Spine Society (NASS). Diagnosis and treatment of adult isthmic spondylolisthesis. Burr Ridge (IL)  North American Spine Society (NASS); 2014. 87 p.  [488 references ]","[2e954001e163750d51f5e4864bbf2a98,]","[North American Spine Society, ]","https //www.spine.org/Portals/0/Documents/ResearchClinicalCare/Guidelines/AdultIsthmicSpondylolisthesis.pdf?ver=2015-06-05-125748-920","2014",2014
"2","Archived",292,"Clinical practice guideline  the diagnosis, management, and prevention of bronchiolitis.",FALSE,"Ralston SL, Lieberthal AS, Meissner HC, Alverson BK, Baley JE, Gadomski AM, Johnson DW, Light MJ, Maraqa NF, Mendonca EA, Phelan KJ, Zorc JJ, Stanko-Lopp D, Brown MA, Nathanson I, Rosenblum E, Sayles S III, Hernandez-Cancio S, American Academy of Pediatrics. Clinical practice guideline  the diagnosis, management, and prevention of bronchiolitis. Pediatrics. 2014 Nov;134(5) e1474-502.  [242 references ] [PubMed](http //www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&amp;db=pubmed&amp;dopt=Abstract&amp;list_uids=25349312  PubMed )","[bb36d620b75854301c7144d0cafb25c8,]","[American Academy of Pediatrics (AAP), ]","http //pediatrics.aappublications.org/content/pediatrics/134/5/e1474.full.pdf","2014 Nov",2014
"3","Archived",980,"Melanoma  assessment and management.",FALSE,"National Institute for Health and Care Excellence (NICE). Melanoma  assessment and management. London (UK)  National Institute for Health and Care Excellence (NICE); 2015 Jul 29. 61 p. (NICE guideline; no. 14).","[98c36041002547b2fc68cd7d2fc19855,]","[National Institute for Health and Care Excellence (NICE), ]","https //www.nice.org.uk/guidance/ng14","2015 Jul 29",2015
"4","Archived",979,"Diabetes (type 1 and type 2) in children and young people  diagnosis and management.",FALSE,"National Institute for Health and Care Excellence (NICE). Diabetes (type 1 and type 2) in children and young people  diagnosis and management. London (UK)  National Institute for Health and Care Excellence (NICE); 2015 Aug 26. 85 p. (NICE guideline; no. 18).","[98c36041002547b2fc68cd7d2fc19855,]","[National Institute for Health and Care Excellence (NICE), ]","https //www.nice.org.uk/guidance/ng18","2015 Aug 26",2015
"5","Published",251,"Biomarkers for systemic therapy in metastatic breast cancer  ASCO guideline update.",FALSE,"Henry NL, Somerfield MR, Dayao Z, Elias A, Kalinsky K, McShane LM, Moy B, Ho Park B, Shanahan KM, Sharma P, Shatsky R, Stringer-Reasor E, Telli M, Turner NC, DeMichele A. Biomarkers for systemic therapy in metastatic breast cancer  ASCO guideline update. J Clin Oncol. 2022 Sep 20;40(27) 3205-3221.  [54 references ] [PubMed](https //pubmed.ncbi.nlm.nih.gov/35759724/  PubMed )","[bf17f896c77a487a7a7e9d170ffc169c,]","[American Society of Clinical Oncology (ASCO), ]","https //ascopubs.org/doi/pdf/10.1200/JCO.22.01063","2022 Sep 20",2022
"6","Archived",32,"Clinical policy  use of intravenous tissue plasminogen activator for the management of acute ischemic stroke in the emergency department.",TRUE,"Brown MD, Burton JH, Nazarian DJ, Promes SB, American College of Emergency Physicians. Clinical policy  use of intravenous tissue plasminogen activator for the management of acute ischemic stroke in the emergency department. Ann Emerg Med. 2015 Sep;66(3) 322-333.e31.  [100 references ] [PubMed](http //www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&amp;db=pubmed&amp;dopt=Abstract&amp;list_uids=26304253  PubMed )","[7fa8679a94bc72aa7da73fc8741c0997,]","[American College of Emergency Physicians (ACEP), ]","https //www.acep.org/globalassets/new-pdfs/clinical-policies/tpa-for-stroke_new.pdf","2015 Sep",2015
"7","Archived",1031,"Diabetic foot problems  prevention and management.",FALSE,"National Institute for Health and Care Excellence (NICE). Diabetic foot problems  prevention and management. London (UK)  National Institute for Health and Care Excellence (NICE); 2015 Aug 26. 49 p. (NICE guideline; no. 19).","[98c36041002547b2fc68cd7d2fc19855,]","[National Institute for Health and Care Excellence (NICE), ]","https //www.nice.org.uk/guidance/ng19","2015 Aug 26",2015
"8","Archived",68,"Clinical practice guideline on diagnosis and treatment of hyponatraemia.",TRUE,"Spasovski G, Vanholder R, Allolio B, Annane D, Ball S, Bichet D, Decaux G, Fenske W, Hoorn EJ, Ichai C, Joannidis M, Soupart A, Zietse R, Haller M, van der Veer S, Van Biesen W, Nagler E, Hyponatraemia Guideline Development Group. Clinical practice guideline on diagnosis and treatment of hyponatraemia. Nephrol Dial Transplant. 2014 Apr;29 Suppl 2 i1-i39.  [247 references ] [PubMed](http //www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&amp;db=pubmed&amp;dopt=Abstract&amp;list_uids=24569496  PubMed )","[addce75179a8b42defa47b41aef48bc8,]","[European Renal Best Practice (ERBP), ]","http //ndt.oxfordjournals.org/content/29/suppl_2/i1.full.pdf","2014 Apr",2014
"9","Archived",1006,"Type 1 diabetes in adults  diagnosis and management.",FALSE,"National Institute for Health and Care Excellence (NICE). Type 1 diabetes in adults  diagnosis and management. London (UK)  National Institute for Health and Care Excellence (NICE); 2015 Aug 26. 87 p. (NICE guideline; no. 17).","[98c36041002547b2fc68cd7d2fc19855,]","[National Institute for Health and Care Excellence (NICE), ]","https //www.nice.org.uk/guidance/ng17","2015 Aug 26",2015
"10","Archived",120,"Practice guidelines for the psychiatric evaluation of adults, third edition.",TRUE,"American Psychiatric Association (APA). Practice guidelines for the psychiatric evaluation of adults, third edition. Arlington (VA)  American Psychiatric Association (APA); 2015. 164 p.  [329 references ]","[f8fa1202fccf26d9f6fb3965d7b265a3,]","[American Psychiatric Association (APA), ]","http //psychiatryonline.org/doi/pdf/10.1176/appi.books.9780890426760","2015",2015
