STATUS,unique_id,title,meets_inclusion_criteria,source,professional_medical_society_code,professional_medical_society,link,publication_reaffirmation_date,year,doi
Published,251,Biomarkers for systemic therapy in metastatic breast cancer  ASCO guideline update.,FALSE,"Henry NL, Somerfield MR, Dayao Z, Elias A, Kalinsky K, McShane LM, Moy B, Ho Park B, Shanahan KM, Sharma P, Shatsky R, Stringer-Reasor E, Telli M, Turner NC, DeMichele A. Biomarkers for systemic therapy in metastatic breast cancer  ASCO guideline update. J Clin Oncol. 2022 Sep 20;40(27) 3205-3221.  [54 references ] [PubMed](https //pubmed.ncbi.nlm.nih.gov/35759724/  PubMed )","[bf17f896c77a487a7a7e9d170ffc169c,]","[American Society of Clinical Oncology (ASCO), ]",https //ascopubs.org/doi/pdf/10.1200/JCO.22.01063,2022 Sep 20,2022,10.1200/JCO.22.01063
Archived,120,"Practice guidelines for the psychiatric evaluation of adults, third edition.",TRUE,"American Psychiatric Association (APA). Practice guidelines for the psychiatric evaluation of adults, third edition. Arlington (VA)  American Psychiatric Association (APA); 2015. 164 p.  [329 references ]","[f8fa1202fccf26d9f6fb3965d7b265a3,]","[American Psychiatric Association (APA), ]",http //psychiatryonline.org/doi/pdf/10.1176/appi.books.9780890426760,2015,2015,10.1176/appi.books.9780890426760
Archived,250,Recommendations for the use of WBC growth factors  American Society of Clinical Oncology clinical practice guideline update.,TRUE,"Smith TJ, Bohlke K, Lyman GH, Carson KR, Crawford J, Cross SJ, Goldberg JM, Khatcheressian JL, Leighl NB, Perkins CL, Somlo G, Wade JL, Wozniak AJ, Armitage JO. Recommendations for the use of WBC growth factors  American Society of Clinical Oncology clinical practice guideline update. J Clin Oncol. 2015 Oct 1;33(28) 3199-212.  [98 references ] [PubMed](http //www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&amp;db=pubmed&amp;dopt=Abstract&amp;list_uids=26169616  PubMed )","[bf17f896c77a487a7a7e9d170ffc169c,]","[American Society of Clinical Oncology (ASCO), ]",http //ascopubs.org/doi/pdf/10.1200/JCO.2015.62.3488,2015 Oct 1,2015,10.1200/JCO.2015.62.3488
Archived,841,Pediatric hydrocephalus  systematic literature review and evidence-based guidelines. Part 10  change in ventricle size as a measurement of effective treatment of hydrocephalus.,TRUE,"Nikas DC, Post AF, Choudhri AF, Mazzola CA, Mitchell L, Flannery AM. Pediatric hydrocephalus  systematic literature review and evidence-based guidelines. Part 10  Change in ventricle size as a measurement of effective treatment of hydrocephalus. J Neurosurg Pediatr. 2014 Nov;14 Suppl 1 77-81.  [25 references ] [PubMed](http //www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&amp;db=pubmed&amp;dopt=Abstract&amp;list_uids=25988786  PubMed )","[a3eb1b08fa5b76f657595196ef397214,]","[Congress of Neurological Surgeons (CNS), ]",http //thejns.org/doi/pdf/10.3171/2014.7.PEDS14330,2014 Nov,2014,10.3171/2014.7.PEDS14330
Archived,840,Pediatric hydrocephalus  systematic literature review and evidence-based guidelines. Part 9  effect of ventricular catheter entry point and position.,TRUE,"Kemp J, Flannery AM, Tamber MS, Duhaime AC. Pediatric hydrocephalus  systematic literature review and evidence-based guidelines. Part 9  Effect of ventricular catheter entry point and position. J Neurosurg Pediatr. 2014 Nov;14 Suppl 1 72-6.  [17 references ] [PubMed](http //www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&amp;db=pubmed&amp;dopt=Abstract&amp;list_uids=25988785  PubMed )","[a3eb1b08fa5b76f657595196ef397214,]","[Congress of Neurological Surgeons (CNS), ]",http //thejns.org/doi/pdf/10.3171/2014.7.PEDS14329,2014 Nov,2014,10.3171/2014.7.PEDS14329
Archived,839,Pediatric hydrocephalus  systematic literature review and evidence-based guidelines. Part 7  antibiotic-impregnated shunt systems versus conventional shunts in children  a systematic review and meta-analysis.,TRUE,"Klimo P Jr, Thompson CJ, Baird LC, Flannery AM. Pediatric hydrocephalus  systematic literature review and evidence-based guidelines. Part 7  Antibiotic-impregnated shunt systems versus conventional shunts in children  a systematic review and meta-analysis. J Neurosurg Pediatr. 2014 Nov;14 Suppl 1 53-9.  [56 references ] [PubMed](http //www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&amp;db=pubmed&amp;dopt=Abstract&amp;list_uids=25988783  PubMed )","[a3eb1b08fa5b76f657595196ef397214,]","[Congress of Neurological Surgeons (CNS), ]",http //thejns.org/doi/pdf/10.3171/2014.7.PEDS14327,2014 Nov,2014,10.3171/2014.7.PEDS14327
Archived,838,Pediatric hydrocephalus  systematic literature review and evidence-based guidelines. Part 8  management of cerebrospinal fluid shunt infection.,TRUE,"Tamber MS, Klimo P Jr, Mazzola CA, Flannery AM. Pediatric hydrocephalus  systematic literature review and evidence-based guidelines. Part 8  Management of cerebrospinal fluid shunt infection. J Neurosurg Pediatr. 2014 Nov;14 Suppl 1 60-71.  [37 references ] [PubMed](http //www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&amp;db=pubmed&amp;dopt=Abstract&amp;list_uids=25988784  PubMed )","[a3eb1b08fa5b76f657595196ef397214,]","[Congress of Neurological Surgeons (CNS), ]",http //thejns.org/doi/pdf/10.3171/2014.7.PEDS14328,2014 Nov,2014,10.3171/2014.7.PEDS14328
Archived,837,Pediatric hydrocephalus  systematic literature review and evidence-based guidelines. Part 6  preoperative antibiotics for shunt surgery in children with hydrocephalus  a systematic review and meta-analysis.,TRUE,"Klimo P Jr, Van Poppel M, Thompson CJ, Baird LC, Duhaime AC, Flannery AM. Pediatric hydrocephalus  systematic literature review and evidence-based guidelines. Part 6  Preoperative antibiotics for shunt surgery in children with hydrocephalus  a systematic review and meta-analysis. J Neurosurg Pediatr. 2014 Nov;14 Suppl 1 44-52.  [44 references ] [PubMed](http //www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&amp;db=pubmed&amp;dopt=Abstract&amp;list_uids=25988782  PubMed )","[a3eb1b08fa5b76f657595196ef397214,]","[Congress of Neurological Surgeons (CNS), ]",http //thejns.org/doi/pdf/10.3171/2014.7.PEDS14326,2014 Nov,2014,10.3171/2014.7.PEDS14326
Archived,836,Pediatric hydrocephalus  systematic literature review and evidence-based guidelines. Part 5  effect of valve type on cerebrospinal fluid shunt efficacy.,TRUE,"Baird LC, Mazzola CA, Auguste KI, Klimo P Jr, Flannery AM. Pediatric hydrocephalus  systematic literature review and evidence-based guidelines. Part 5  Effect of valve type on cerebrospinal fluid shunt efficacy. J Neurosurg Pediatr. 2014 Nov;14 Suppl 1 35-43.  [44 references ] [PubMed](http //www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&amp;db=pubmed&amp;dopt=Abstract&amp;list_uids=25988781  PubMed )","[a3eb1b08fa5b76f657595196ef397214,]","[Congress of Neurological Surgeons (CNS), ]",http //thejns.org/doi/pdf/10.3171/2014.7.PEDS14325,2014 Nov,2014,10.3171/2014.7.PEDS14325
Archived,834,Pediatric hydrocephalus  systematic literature review and evidence-based guidelines. Part 3  endoscopic computer-assisted electromagnetic navigation and ultrasonography as technical adjuvants for shunt placement.,TRUE,"Flannery AM, Duhaime AC, Tamber MS, Kemp J. Pediatric hydrocephalus  systematic literature review and evidence-based guidelines. Part 3  Endoscopic computer-assisted electromagnetic navigation and ultrasonography as technical adjuvants for shunt placement. J Neurosurg Pediatr. 2014 Nov;14 Suppl 1 24-9.  [15 references ] [PubMed](http //www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&amp;db=pubmed&amp;dopt=Abstract&amp;list_uids=25988779  PubMed )","[a3eb1b08fa5b76f657595196ef397214,]","[Congress of Neurological Surgeons (CNS), ]",http //thejns.org/doi/pdf/10.3171/2014.7.PEDS14323,2014 Nov,2014,10.3171/2014.7.PEDS14323
