rowid,doi,title,container.title,issued,given,family,suffix,affiliation.name,affiliation1.name,affiliation2.name,affiliation3.name,ORCID,url,link_url,year,npi_eligible,non_physician_prescriber,prescriber_credential,employment_country,date_npi_eligibility_verified
713,10.1161/str.0000000000000436,2023 Guideline for the Management of Patients With Aneurysmal Subarachnoid Hemorrhage: A Guideline From the American Heart Association/American Stroke Association,Stroke,2023-05-22,Brian L.,Hoh,NA,NA,NA,NA,NA,NA,http://dx.doi.org/10.1161/str.0000000000000436,https://www.ahajournals.org/doi/pdf/10.1161/STR.0000000000000436,2023,TRUE,FALSE,MD,NA,2023-06-08
714,10.1161/str.0000000000000436,2023 Guideline for the Management of Patients With Aneurysmal Subarachnoid Hemorrhage: A Guideline From the American Heart Association/American Stroke Association,Stroke,2023-05-22,Nerissa U.,Ko,NA,NA,NA,NA,NA,NA,http://dx.doi.org/10.1161/str.0000000000000436,https://www.ahajournals.org/doi/pdf/10.1161/STR.0000000000000436,2023,TRUE,FALSE,MD,NA,2023-06-08
715,10.1161/str.0000000000000436,2023 Guideline for the Management of Patients With Aneurysmal Subarachnoid Hemorrhage: A Guideline From the American Heart Association/American Stroke Association,Stroke,2023-05-22,Sepideh,Amin-Hanjani,NA,AHA Stroke Council Scientific Statement Oversight Committee liaison.,NA,NA,NA,NA,http://dx.doi.org/10.1161/str.0000000000000436,https://www.ahajournals.org/doi/pdf/10.1161/STR.0000000000000436,2023,TRUE,FALSE,MD,NA,2023-06-08
716,10.1161/str.0000000000000436,2023 Guideline for the Management of Patients With Aneurysmal Subarachnoid Hemorrhage: A Guideline From the American Heart Association/American Stroke Association,Stroke,2023-05-22,Sherry,Hsiang-Yi Chou,NA,NCS representative.,NA,NA,NA,NA,http://dx.doi.org/10.1161/str.0000000000000436,https://www.ahajournals.org/doi/pdf/10.1161/STR.0000000000000436,2023,TRUE,FALSE,MD,NA,2023-06-08
717,10.1161/str.0000000000000436,2023 Guideline for the Management of Patients With Aneurysmal Subarachnoid Hemorrhage: A Guideline From the American Heart Association/American Stroke Association,Stroke,2023-05-22,Salvador,Cruz-Flores,NA,AHA Stroke Council Stroke Performance Measures Oversight Committee liaison.,NA,NA,NA,NA,http://dx.doi.org/10.1161/str.0000000000000436,https://www.ahajournals.org/doi/pdf/10.1161/STR.0000000000000436,2023,TRUE,FALSE,MD,NA,2023-06-08
718,10.1161/str.0000000000000436,2023 Guideline for the Management of Patients With Aneurysmal Subarachnoid Hemorrhage: A Guideline From the American Heart Association/American Stroke Association,Stroke,2023-05-22,Neha S.,Dangayach,NA,NA,NA,NA,NA,NA,http://dx.doi.org/10.1161/str.0000000000000436,https://www.ahajournals.org/doi/pdf/10.1161/STR.0000000000000436,2023,TRUE,FALSE,MD,NA,2023-06-08
719,10.1161/str.0000000000000436,2023 Guideline for the Management of Patients With Aneurysmal Subarachnoid Hemorrhage: A Guideline From the American Heart Association/American Stroke Association,Stroke,2023-05-22,Colin P.,Derdeyn,NA,NA,NA,NA,NA,NA,http://dx.doi.org/10.1161/str.0000000000000436,https://www.ahajournals.org/doi/pdf/10.1161/STR.0000000000000436,2023,TRUE,FALSE,MD,NA,2023-06-08
720,10.1161/str.0000000000000436,2023 Guideline for the Management of Patients With Aneurysmal Subarachnoid Hemorrhage: A Guideline From the American Heart Association/American Stroke Association,Stroke,2023-05-22,Rose,Du,NA,NA,NA,NA,NA,NA,http://dx.doi.org/10.1161/str.0000000000000436,https://www.ahajournals.org/doi/pdf/10.1161/STR.0000000000000436,2023,TRUE,FALSE,MD,NA,2023-06-08
721,10.1161/str.0000000000000436,2023 Guideline for the Management of Patients With Aneurysmal Subarachnoid Hemorrhage: A Guideline From the American Heart Association/American Stroke Association,Stroke,2023-05-22,Daniel,Hänggi,NA,NA,NA,NA,NA,NA,http://dx.doi.org/10.1161/str.0000000000000436,https://www.ahajournals.org/doi/pdf/10.1161/STR.0000000000000436,2023,TRUE,FALSE,MD,NA,2023-06-08
722,10.1161/str.0000000000000436,2023 Guideline for the Management of Patients With Aneurysmal Subarachnoid Hemorrhage: A Guideline From the American Heart Association/American Stroke Association,Stroke,2023-05-22,Steven W.,Hetts,NA,SNIS representative.,NA,NA,NA,NA,http://dx.doi.org/10.1161/str.0000000000000436,https://www.ahajournals.org/doi/pdf/10.1161/STR.0000000000000436,2023,TRUE,FALSE,MD,NA,2023-06-08
723,10.1161/str.0000000000000436,2023 Guideline for the Management of Patients With Aneurysmal Subarachnoid Hemorrhage: A Guideline From the American Heart Association/American Stroke Association,Stroke,2023-05-22,Nneka L.,Ifejika,NA,NA,NA,NA,NA,NA,http://dx.doi.org/10.1161/str.0000000000000436,https://www.ahajournals.org/doi/pdf/10.1161/STR.0000000000000436,2023,TRUE,FALSE,MD,NA,2023-06-08
724,10.1161/str.0000000000000436,2023 Guideline for the Management of Patients With Aneurysmal Subarachnoid Hemorrhage: A Guideline From the American Heart Association/American Stroke Association,Stroke,2023-05-22,Regina,Johnson,NA,NA,NA,NA,NA,NA,http://dx.doi.org/10.1161/str.0000000000000436,https://www.ahajournals.org/doi/pdf/10.1161/STR.0000000000000436,2023,FALSE,FALSE,NA,NA,2023-06-08
725,10.1161/str.0000000000000436,2023 Guideline for the Management of Patients With Aneurysmal Subarachnoid Hemorrhage: A Guideline From the American Heart Association/American Stroke Association,Stroke,2023-05-22,Kiffon M.,Keigher,NA,NA,NA,NA,NA,NA,http://dx.doi.org/10.1161/str.0000000000000436,https://www.ahajournals.org/doi/pdf/10.1161/STR.0000000000000436,2023,TRUE,TRUE,DNP,NA,2023-06-08
726,10.1161/str.0000000000000436,2023 Guideline for the Management of Patients With Aneurysmal Subarachnoid Hemorrhage: A Guideline From the American Heart Association/American Stroke Association,Stroke,2023-05-22,Thabele M.,Leslie-Mazwi,NA,SVIN representative.,NA,NA,NA,NA,http://dx.doi.org/10.1161/str.0000000000000436,https://www.ahajournals.org/doi/pdf/10.1161/STR.0000000000000436,2023,TRUE,FALSE,MD,NA,2023-06-08
